album_name,listeners,playcount,total_tracks,avg_duration_sec,raw_tags,tag_instrumental,tag_orchestral,tag_electronic,tag_ambient,tag_dark,tag_acoustic,tag_epic,tag_relaxing,n_tags,title,metascore,genres,releaseDate,release_year,score_category,is_high_score,log_listeners
Super Mario World (Original Game Soundtrack),108902,1004224,25.0,63.0,soundtrack|video game music,0,0,1,0,0,0,0,0,2,Super Mario World: Super Mario Advance 2,92.0,2D Platformer,2002-02-09,2002.0,Universal (90+),1,11.598212856750973
Demon's Souls Original Soundtrack,26866,335436,21.0,,,0,0,0,0,0,0,0,0,0,Demon's Souls,92.0,Action RPG,2020-11-11,2020.0,Universal (90+),1,10.198654046697536
Mario Tennis Aces Original Soundtrack (GAMERIP),15,146,,,,0,0,0,0,0,0,0,0,0,Virtua Tennis,92.0,Tennis,2000-07-12,2000.0,Universal (90+),1,2.772588722239781
Batman: Arkham Asylum [Original Soundtrack],31,1892,,,,0,0,0,0,0,0,0,0,0,Batman: Arkham Asylum,92.0,Action Adventure,2009-08-25,2009.0,Universal (90+),1,3.4657359027997265
Fire Emblem: Awakening Original Soundtrack,90,3247,92.0,164.4,,0,0,0,0,0,0,0,0,0,Fire Emblem: Awakening,92.0,Turn-Based Tactics,2013-02-04,2013.0,Universal (90+),1,4.51085950651685
Undertale Original Soundtrack,55,6622,,,,0,0,0,0,0,0,0,0,0,Undertale,92.0,JRPG,2015-09-15,2015.0,Universal (90+),1,4.02535169073515
TEKKEN 5 DARK RESURRECTION (Original Soundtrack),9005,135187,,,,0,0,0,0,0,0,0,0,0,Thief: The Dark Project,92.0,Action Adventure,1998-11-30,1998.0,Universal (90+),1,9.105646300861517
Super Mario Sunshine Original Soundtrack,698,28947,,,,0,0,0,0,0,0,0,0,0,Super Mario Sunshine,92.0,3D Platformer,2002-08-26,2002.0,Universal (90+),1,6.54965074223381
Divinity: Original Sin 2 (Original Soundtrack),115285,2273428,42.0,182.0,soundtrack|game soundtrack|video game soundtrack|videogame soundtrack|instrumental,1,1,0,0,0,0,0,0,5,Divinity: Original Sin II - Definitive Edition,92.0,Western RPG,2018-08-31,2018.0,Universal (90+),1,11.655171276508447
FINAL FANTASY X Original Soundtrack,74090,2168242,89.0,164.6,,0,0,0,0,0,0,0,0,0,Final Fantasy X,92.0,JRPG,2001-12-17,2001.0,Universal (90+),1,11.213049346417742
Wave Race 64 Original Soundtrack,614,27274,,,,0,0,0,0,0,0,0,0,0,Wave Race 64,92.0,Arcade Racing,1996-11-01,1996.0,Universal (90+),1,6.421622267806518
Final Fantasy VII Original Soundtrack,3556,246138,85.0,190.9,soundtrack|video game soundtrack|video game music|final fantasy|japanese,0,1,1,0,0,0,0,0,5,Final Fantasy VII,92.0,JRPG,1997-09-07,1997.0,Universal (90+),1,8.176672771948455
FINAL FANTASY XIV: Endwalker Original Soundtrack,12,521,,,,0,0,0,0,0,0,0,0,0,Final Fantasy XIV: Endwalker,92.0,MMORPG,2021-12-07,2021.0,Universal (90+),1,2.5649493574615367
Journey Original Soundtrack,3315,300893,,,relaxing|beautiful|ps3|albums listened,0,0,0,0,0,0,0,1,4,Journey,92.0,3D Platformer,2012-03-13,2012.0,Universal (90+),1,8.106514516255185
Conker's Bad Fur Day Original Soundtrack,88,1707,,,,0,0,0,0,0,0,0,0,0,Conker's Bad Fur Day,92.0,3D Platformer,2001-03-04,2001.0,Universal (90+),1,4.48863636973214
"Central Park Season Two, The Soundtrack – Songs in the Key of Park (Fista Puffs Mets Out Justice) [Original Soundtrack]",114,2760,,,,0,0,0,0,0,0,0,0,0,Out of the Park Baseball 17,92.0,Baseball Sim,2016-03-22,2016.0,Universal (90+),1,4.74493212836325
Medal of Honor (Original Soundtrack),2693,38911,18.0,230.1,soundtrack|american film score composers|instrumental|michael giacchino|composer,1,1,0,0,0,0,0,0,5,Medal of Honor (1999),92.0,FPS,1999-10-31,1999.0,Universal (90+),1,7.898782356970309
Chrono Trigger Original Soundtrack,5942,133569,30.0,152.4,game|square|video game music|soundtrack|instrumental,1,0,1,0,0,0,0,0,5,Chrono Trigger,92.0,JRPG,2008-11-25,2008.0,Universal (90+),1,8.68996933536666
Metroid Fusion Original Soundtrack,2,58,,,,0,0,0,0,0,0,0,0,0,Metroid Fusion,92.0,Metroidvania,2002-11-17,2002.0,Universal (90+),1,1.0986122886681098
Metroid Prime 2: Echoes - Original Soundtrack,1,9,,,,0,0,0,0,0,0,0,0,0,Metroid Prime 2: Echoes,92.0,FPS,2004-11-15,2004.0,Universal (90+),1,0.6931471805599453
Rayman Legends (Original Game Soundtrack),20576,289765,,,soundtrack,0,0,0,0,0,0,0,0,1,Rayman Legends,92.0,2D Platformer,2013-09-03,2013.0,Universal (90+),1,9.931929226167432
LittleBIGPlanet 2 Original Soundtrack,183,989,,,,0,0,0,0,0,0,0,0,0,LittleBigPlanet 2,91.0,2D Platformer,2011-01-18,2011.0,Universal (90+),1,5.214935757608986
Medal Of Honor: Allied Assault (Original Soundtrack),1241,8742,5.0,215.6,soundtrack|video game soundtrack|videogame soundtrack,0,1,0,0,0,0,0,0,3,Medal of Honor: Allied Assault,91.0,FPS,2002-01-20,2002.0,Universal (90+),1,7.124478262493424
The Witcher 3: Wild Hunt - Blood and Wine (Original Soundtrack),7,185,,,,0,0,0,0,0,0,0,0,0,The Witcher 3: Wild Hunt - Blood and Wine,92.0,Action RPG,2016-05-30,2016.0,Universal (90+),1,2.0794415416798357
Yandere Simulator (Original Soundtrack + Extras),3766,43101,16.0,,,0,0,0,0,0,0,0,0,0,Microsoft Flight Simulator,91.0,Aircraft Sim,2020-08-18,2020.0,Universal (90+),1,8.23403420769204
Slay the Princess: The Pristine Cut (Original Soundtrack),24,6447,28.0,163.6,,0,0,0,0,0,0,0,0,0,Slay The Princess - The Pristine Cut,91.0,Visual Novel,2024-10-24,2024.0,Universal (90+),1,3.2188758248682006
Final Fantasy VI Original Soundtrack,1720,51554,61.0,179.4,soundtrack|video game music|game|final fantasy|square,0,0,1,0,0,0,0,0,5,Final Fantasy VI,92.0,JRPG,2007-02-05,2007.0,Universal (90+),1,7.450660796211539
